,base,clouds,cod,coord,dt,id,main,name,rain,snow,sys,timezone,visibility,weather,wind
0,stations,{'all': 40},200,"{'lon': 57.7, 'lat': -20.41}",1572928857,934322,"{'temp': 299.21, 'pressure': 1020, 'humidity': 74, 'temp_min': 299.15, 'temp_max': 299.26}",Mahebourg,,,"{'type': 1, 'id': 2061, 'country': 'MU', 'sunrise': 1572917118, 'sunset': 1572963613}",14400,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 5.1, 'deg': 80}"
1,model,{'all': 1},200,"{'lon': 179.32, 'lat': 63.05}",1572928858,2126710,"{'temp': 272.65, 'pressure': 1028, 'humidity': 86, 'temp_min': 272.65, 'temp_max': 272.65, 'sea_level': 1028, 'grnd_level': 1027}",Beringovskiy,,,"{'country': 'RU', 'sunrise': 1572896934, 'sunset': 1572925418}",43200,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 0.65, 'deg': 31}"
2,stations,{'all': 1},200,"{'lon': -104.44, 'lat': 36.9}",1572928858,5486795,"{'temp': 275.06, 'pressure': 1022, 'humidity': 51, 'temp_min': 273.71, 'temp_max': 276.15}",Raton,,,"{'type': 1, 'id': 5718, 'country': 'US', 'sunrise': 1572873873, 'sunset': 1572911883}",-25200,16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 2.6, 'deg': 270}"
3,stations,{'all': 1},200,"{'lon': -74.61, 'lat': 40.57}",1572928859,5104774,"{'temp': 280.42, 'pressure': 1025, 'humidity': 93, 'temp_min': 275.93, 'temp_max': 285.37}",Somerville,,,"{'type': 1, 'id': 4940, 'country': 'US', 'sunrise': 1572867101, 'sunset': 1572904336}",-18000,16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 1.8, 'deg': 195}"
4,stations,{'all': 90},200,"{'lon': -70.91, 'lat': -53.16}",1572928860,3874787,"{'temp': 278.15, 'pressure': 981, 'humidity': 80, 'temp_min': 278.15, 'temp_max': 278.15}",Punta Arenas,,,"{'type': 1, 'id': 8487, 'country': 'CL', 'sunrise': 1572943989, 'sunset': 1572998476}",-10800,10000.0,"[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09n'}]","{'speed': 11.8, 'deg': 270}"
5,model,{'all': 76},200,"{'lon': 128.87, 'lat': 71.64}",1572928860,2015306,"{'temp': 248.65, 'pressure': 1025, 'humidity': 94, 'temp_min': 248.65, 'temp_max': 248.65, 'sea_level': 1025, 'grnd_level': 1008}",Tiksi,,,"{'country': 'RU', 'sunrise': 1572914135, 'sunset': 1572932434}",32400,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 1.27, 'deg': 273}"
6,model,{'all': 100},200,"{'lon': -77.46, 'lat': -8.82}",1572928861,3693468,"{'temp': 278.32, 'pressure': 1014, 'humidity': 97, 'temp_min': 278.32, 'temp_max': 278.32, 'sea_level': 1014, 'grnd_level': 627}",Pomabamba,{'3h': 0.56},,"{'country': 'PE', 'sunrise': 1572864007, 'sunset': 1572908798}",-18000,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 1.64, 'deg': 54}"
7,stations,{'all': 90},200,"{'lon': -94.76, 'lat': 39.95}",1572928862,4407665,"{'temp': 278.63, 'pressure': 1025, 'humidity': 63, 'temp_min': 278.15, 'temp_max': 279.82}",Kodiak,,,"{'type': 1, 'id': 4042, 'country': 'US', 'sunrise': 1572871871, 'sunset': 1572909238}",-21600,16093.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 1.5, 'deg': 300}"
8,stations,{'all': 90},200,"{'lon': -94.42, 'lat': 30.04}",1572928863,4732862,"{'temp': 291.63, 'pressure': 1018, 'humidity': 94, 'temp_min': 289.82, 'temp_max': 293.15}",Nome,,,"{'type': 1, 'id': 3476, 'country': 'US', 'sunrise': 1572870826, 'sunset': 1572910121}",-21600,16093.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 2.6, 'deg': 100}"
9,stations,{'all': 24},200,"{'lon': 173.78, 'lat': -35.1}",1572928863,2189343,"{'temp': 299.82, 'pressure': 1013, 'humidity': 52, 'temp_min': 299.82, 'temp_max': 299.82}",Kaeo,,,"{'type': 3, 'id': 2012217, 'country': 'NZ', 'sunrise': 1572887961, 'sunset': 1572937050}",46800,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 4.02, 'deg': 32, 'gust': 5.81}"
