Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
1/1/2014,29,0,0,0
1/2/2014,26,0.13,2.4,0
1/3/2014,14,0.22,5.5,7
1/4/2014,17,0,0,7
1/5/2014,36,0.1, T,6
1/6/2014,36.5,0.41, T,1
1/7/2014,13,0,0,0
1/8/2014,17,0,0,0
1/9/2014,28,0,0,0
1/10/2014,31,0.19,0.1,0
1/11/2014,46,0.72,0,0
1/12/2014,42.5, T,0,0
1/13/2014,40,0,0,0
1/14/2014,45.5,0.55,0,0
1/15/2014,38, T,0,0
1/16/2014,38.5,0,0,0
1/17/2014,36.5,0,0,0
1/18/2014,35,0.24,0.1,0
1/19/2014,32,0,0,0
1/20/2014,40.5, T, T,0
1/21/2014,23,0.35,6.8,0
1/22/2014,12.5,0.01,0.3,7
1/23/2014,14.5,0,0,7
1/24/2014,15.5,0,0,6
1/25/2014,25,0.04,0.8,5
1/26/2014,27, T, T,5
1/27/2014,33.5,0,0,4
1/28/2014,18, T, T,1
1/29/2014,20,0.05,1,2
1/30/2014,21,0,0,1
1/31/2014,34,0,0, T
2/1/2014,36.5,0,0, T
2/2/2014,41, T,0, T
2/3/2014,36,1.08,6.7, T
2/4/2014,28.5,0,0,6
2/5/2014,32.5,1.2,2.2,7
2/6/2014,28,0,0,6
2/7/2014,28.5,0,0,5
2/8/2014,25,0,0,5
2/9/2014,25,0.13,1.5,5
2/10/2014,25,0,0,6
2/11/2014,20.5,0,0,6
2/12/2014,19.5,0, T,5
2/13/2014,31,1.27,5.5,7
2/14/2014,36.5,0.13,1.4,10
2/15/2014,32.5,0.11,1.6,9
2/16/2014,26,0,0,10
2/17/2014,25.5,0,0,10
2/18/2014,33,0.15,1.6,10
2/19/2014,35.5,0.31,0,8
2/20/2014,38.5,0.02,0,5
2/21/2014,41,0.14,0,3
2/22/2014,43.5,0,0,1
2/23/2014,45,0,0, T
2/24/2014,36.5,0.02,0,0
2/25/2014,30.5,0,0,0
2/26/2014,26.5,0.03,0.5,0
2/27/2014,25, T, T,0
2/28/2014,18.5,0,0,0
3/1/2014,26.5,0,0,0
3/2/2014,36.5, T, T,0
3/3/2014,26.5,0.04,0.6,1
3/4/2014,21,0,0, T
3/5/2014,32.5,0,0, T
3/6/2014,24,0,0,0
3/7/2014,31.5, T,0,0
3/8/2014,46,0,0,0
3/9/2014,41.5, T,0,0
3/10/2014,43, T, T,0
3/11/2014,51.5,0,0,0
3/12/2014,45.5,0.15,0,0
3/13/2014,26.5,0,0,0
3/14/2014,32,0,0,0
3/15/2014,50.5,0.01,0,0
3/16/2014,37,0,0,0
3/17/2014,29.5, T, T,0
3/18/2014,34,0,0,0
3/19/2014,37,0.72,0,0
3/20/2014,49, T,0,0
3/21/2014,44,0,0,0
3/22/2014,50,0,0,0
3/23/2014,37,0,0,0
3/24/2014,29,0,0,0
3/25/2014,31, T, T,0
3/26/2014,32, T, T,0
3/27/2014,31,0,0,0
3/28/2014,43.5, T,0,0
3/29/2014,46.5,2.6,0,0
3/30/2014,47.5,0.53,0,0
3/31/2014,45,0.21, T,0
4/1/2014,47,0,0,0
4/2/2014,43,0.03,0,0
4/3/2014,51,0.08,0,0
4/4/2014,43,0.1,0,0
4/5/2014,49, T,0,0
4/6/2014,47,0,0,0
4/7/2014,44,0.35,0,0
4/8/2014,56.5,0.25,0,0
4/9/2014,53.5,0,0,0
4/10/2014,45.5,0,0,0
4/11/2014,58, T,0,0
4/12/2014,58.5,0,0,0
4/13/2014,56,0,0,0
4/14/2014,58.5,0,0,0
4/15/2014,45,0.65,0.1,0
4/16/2014,40.5,0.08, T,0
4/17/2014,41,0,0,0
4/18/2014,41,0,0,0
4/19/2014,54,0,0,0
4/20/2014,48,0,0,0
4/21/2014,47.5,0,0,0
4/22/2014,53.5, T,0,0
4/23/2014,54,0,0,0
4/24/2014,53.5,0,0,0
4/25/2014,51, T,0,0
4/26/2014,56.5,0.71,0,0
4/27/2014,53.5,0,0,0
4/28/2014,55.5,0,0,0
4/29/2014,47.5,0.05,0,0
4/30/2014,49,4.68,0,0
5/1/2014,62,0.24,0,0
